index,precision,recall,f1-score,support
Black Sea Sprat,0.9951690821256038,1.0,0.9975786924939467,206.0
Gilt-Head Bream,0.9946808510638298,0.9946808510638298,0.9946808510638298,188.0
Hourse Mackerel,1.0,1.0,1.0,202.0
Red Mullet,1.0,0.9946524064171123,0.9973190348525469,187.0
Red Sea Bream,0.9949238578680203,1.0,0.9974554707379135,196.0
Sea Bass,1.0,0.9955555555555555,0.9977728285077951,225.0
Shrimp,1.0,1.0,1.0,208.0
Striped Red Mullet,0.994535519125683,0.994535519125683,0.994535519125683,183.0
Trout,1.0,1.0,1.0,205.0
accuracy,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778
macro avg,0.997701034464793,0.9977138146846867,0.9977047107535237,1800.0
weighted avg,0.9977832817000035,0.9977777777777778,0.9977777938055912,1800.0
