index,precision,recall,f1-score,support
Apple___Apple_scab,0.9711538461538461,0.8145161290322581,0.8859649122807017,124.0
Apple___Black_rot,0.9921259842519685,0.984375,0.988235294117647,128.0
Apple___Cedar_apple_rust,0.9649122807017544,0.9166666666666666,0.9401709401709402,60.0
Apple___healthy,0.9682080924855492,0.9970238095238095,0.9824046920821115,336.0
Blueberry___healthy,0.9878787878787879,1.0,0.9939024390243903,326.0
Cherry_(including_sour)___Powdery_mildew,0.995575221238938,0.9911894273127754,0.9933774834437086,227.0
Cherry_(including_sour)___healthy,1.0,0.9944444444444445,0.9972144846796658,180.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8317757009345794,0.8090909090909091,0.8202764976958525,110.0
Corn_(maize)___Common_rust_,0.9807692307692307,1.0,0.9902912621359222,255.0
Corn_(maize)___Northern_Leaf_Blight,0.9,0.8955223880597015,0.8977556109725685,201.0
Corn_(maize)___healthy,0.9957983193277311,1.0,0.9978947368421053,237.0
Grape___Black_rot,0.9778761061946902,0.9692982456140351,0.973568281938326,228.0
Grape___Esca_(Black_Measles),0.9728682170542635,0.98046875,0.9766536964980544,256.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9955947136563876,0.9741379310344828,0.9847494553376905,232.0
Grape___healthy,0.9879518072289156,1.0,0.993939393939394,82.0
Orange___Haunglongbing_(Citrus_greening),0.998158379373849,0.9990783410138249,0.9986181483187471,1085.0
Peach___Bacterial_spot,0.9872340425531915,0.9893390191897654,0.9882854100106495,469.0
Peach___healthy,1.0,0.9661016949152542,0.9827586206896551,59.0
"Pepper,_bell___Bacterial_spot",0.9521531100478469,0.9386792452830188,0.9453681710213777,212.0
"Pepper,_bell___healthy",0.9802631578947368,0.9867549668874173,0.9834983498349835,302.0
Potato___Early_blight,0.9611650485436893,0.9801980198019802,0.9705882352941178,202.0
Potato___Late_blight,0.9282296650717703,0.9509803921568627,0.9394673123486683,204.0
Potato___healthy,1.0,0.8461538461538461,0.9166666666666666,39.0
Raspberry___healthy,0.978021978021978,1.0,0.9888888888888888,89.0
Soybean___healthy,0.9928789420142421,0.9959183673469387,0.9943963321446765,980.0
Squash___Powdery_mildew,1.0,0.9918032786885246,0.9958847736625513,366.0
Strawberry___Leaf_scorch,0.970954356846473,0.9957446808510638,0.9831932773109243,235.0
Strawberry___healthy,1.0,0.9883720930232558,0.9941520467836257,86.0
Tomato___Bacterial_spot,0.903370786516854,0.9640287769784173,0.9327146171693736,417.0
Tomato___Early_blight,0.8523489932885906,0.671957671957672,0.7514792899408284,189.0
Tomato___Late_blight,0.9302325581395349,0.9473684210526315,0.938722294654498,380.0
Tomato___Leaf_Mold,0.9054726368159204,0.9054726368159204,0.9054726368159204,201.0
Tomato___Septoria_leaf_spot,0.8668478260869565,0.8861111111111111,0.8763736263736263,360.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9015384615384615,0.9272151898734177,0.9141965678627145,316.0
Tomato___Target_Spot,0.8609022556390977,0.8841698841698842,0.8723809523809524,259.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9863680623174295,0.9854085603112841,0.9858880778588808,1028.0
Tomato___Tomato_mosaic_virus,0.9375,0.821917808219178,0.8759124087591241,73.0
Tomato___healthy,0.9814814814814815,0.9695121951219512,0.9754601226993865,328.0
accuracy,0.9635392689439278,0.9635392689439278,0.9635392689439278,0.9635392689439278
macro avg,0.9578318434228619,0.945237365834271,0.9507043686486822,10861.0
weighted avg,0.9634835432696175,0.9635392689439278,0.9631129355675452,10861.0
